FR775887.1,Rattus_norvegicus
JQ814194.1,Rattus_rattus	
AY859464.1,Reithrodontomys_chrysopsis
AF176257.1,Reithrodontomys_fulvescens
AY293817.1,Reithrodontomys_gracilis
AY859466.1,Reithrodontomys_hirsutus
AF176258.1,Reithrodontomys_humulis
AF108707.1,Reithrodontomys_megalotis
AF108708.1,Reithrodontomys_mexicanus
AY293818.1,Reithrodontomys_microdon
AF176250.1,Reithrodontomys_montanus
AF176254.1,Reithrodontomys_raviventris
AY859462.1,Reithrodontomys_spectabilis
AF108709.1,Reithrodontomys_sumichrasti
AY859463.1,Reithrodontomys_tenuirostris
PP972110.1,Reithrodontomys_wagneri
AF176251.1,Reithrodontomys_zacatecae
MW148678.1,Rheomys_mexicanus
MW148682.1,Rheomys_thomasi
U10181.1,Sciurus_aberti
NC050011.1,Sciurus_arizonensis
KC737847.1,Sciurus_aureogaster
FJ200744.1,Sciurus_carolinensis
NC050013.1,Sciurus_colliaei
KC777298.1,Sciurus_deppei
NC050034.1,Sciurus_griseus
MT240883.1,Sciurus_nayaritensis
FJ200745.1,Sciurus_niger
JQ627638.1,Sciurus_oculatus
HG962415.1,Sciurus_variegatoides
NC050016.1,Sciurus_yucatanensis
AF108705.1,Scotinomys_teguina
AF155425.1,Sigmodon_alleni
AF155423.1,Sigmodon_arizonae
AF293399.1,Sigmodon_fulviventer
AF155419.1,Sigmodon_hirsutus
AF108702.1,Sigmodon_hispidus
AF293401.1,Sigmodon_leucotis
AF155424.1,Sigmodon_mascotensis
AF155422.1,Sigmodon_ochrognathus
AF155418.1,Sigmodon_toltecus
AY292724.1,Sylvilagus_floridanus_(OUTGROUP)
KY754162.1,Synaptomys_cooperi
AY292715.1,Tamias_striatus
KU977142.1,Tamiasciurus_douglasii
KU977159.1,Tamiasciurus_fremonti_(T._hudsonicus_subsp.)
FJ200658.1,Tamiasciurus_hudsonicus
AF215787.1,Thomomys_mazama
U65292.1,Thomomys_monticola
U65291.1,Thomomys_talpoides
DQ179812.1,Tylomys_nudicaudus
PP818788.1,Tylomys_tumbalensis
AF157850.1,Urocitellus_armatus
AF157881.1,Urocitellus_beldingi
AF157883.1,Urocitellus_brunneus_(Spermophilus)
KX278526.1,Urocitellus_canus_
AF157882.1,Urocitellus_columbianus
AF157880.1,Urocitellus_idahoensis_(U._townsendii_subsp.)
KX278535.1,Urocitellus_mollis
AF157896.1,Urocitellus_parryii
AF157914.1,Urocitellus_richardsonii
AF157888.1,Urocitellus_townsendii
AF157839.1,Uroticellus_elegans
AF157936.1,Uroticellus_washingtoni
AF307838.1,Xenomys_nelsoni
AF157925.1,Xerospermophilus_mohavensis
AF157840.1,Xerospermophilus_perotensis
AF157845.1,Xerospermophilus_spilosoma
AF157940.1,Xerospermophilus_tereticaudus
KF440991.1,Zapus_hudsonius
JN546485.1,Zapus_luteus_(Z._hudsonius_subsp.)
KF441304.1,Zapus_montanus_(Z._trinotatus_subsp.)
KF441163.1,Zapus_oregonus_(Z._princeps_subsp.)
KF441320.1,Zapus_pacificus_(Z._trinotatus_subsp.)
KF441292.1,Zapus_princeps
KF441053.1,Zapus_saltator_(Z._princeps_subsp.)
KF441303.1,Zapus_trinotatus
KC680050.1,Zygogeomys_trichopus
